source,target,code,group
/blog/board/kay,/team/kay-meier/,301,board profile
/blog/board/kay-emp99,/team/judy-zerzan-thul/,301,board profile
/blog/board/kay-njsdj,/team/athena-hitson/,301,board profile
/blog/board/kay-rdzag,/board-and-staff/,301,board profile
/blog/board/leah,/team/leah-hole-marshall/,301,board profile
/blog/board/trevor,/team/trevor-owens/,301,board profile
/blog/category/95th+Season,/press/,301,category index
/blog/category/96th+Season,/press/,301,category index
/blog/category/Board,/board-and-staff/,301,category index
/blog/category/Education+Program,/education/,301,category index
/blog/category/Historical+Shows,/shows/,301,category index
/blog/category/Jobs,/job-openings/,301,category index
/blog/category/Off+the+Shelf,/off-the-shelf/,301,category index
/blog/category/Press,/press/,301,category index
/blog/category/Staff,/board-and-staff/,301,category index
/blog,/press/,301,core
/cover,/,301,core
/blog/2015/1918-1930,/shows/legacy/1918-1930/,301,decade page
/blog/2015/1930-1940,/shows/legacy/1930-1940/,301,decade page
/blog/2015/1940-1950,/shows/legacy/1940-1950/,301,decade page
/blog/2015/1950-1960,/shows/legacy/1950-1960/,301,decade page
/blog/2015/1960-1970,/shows/legacy/1960-1970/,301,decade page
/blog/2015/1970-1980,/shows/legacy/1970-1980/,301,decade page
/blog/2015/1980-1990,/shows/legacy/1980-1990/,301,decade page
/blog/2015/1990-2000,/shows/legacy/1990-2000/,301,decade page
/blog/2015/2000-2010,/shows/legacy/2000-2010/,301,decade page
/blog/2015/2010-2011,/shows/legacy/2010-2011/,301,decade page
/blog/2015/2011-2012,/shows/legacy/2011-2012/,301,decade page
/blog/2015/2012-2013,/shows/legacy/2012-2013/,301,decade page
/blog/20182019/bellbookcandle,/shows/bell-book-and-candle/,301,modern_show
/blog/20182019/dollshouse,/shows/a-dolls-house/,301,modern_show
/blog/20182019/foreigner,/shows/foreigner/,301,modern_show
/blog/20182019/hayfever,/shows/hay-fever/,301,modern_show
/blog/20182019/laura,/shows/laura/,301,modern_show
/blog/20182019/nightmusic,/shows/a-little-night-music/,301,modern_show
/blog/20182019/scrooge,/shows/scrooge-the-musical/,301,modern_show
