old_url,new_url,real_name,match_score,guessed_folder
/blog/20192020/holmes-gaf4k,/shows/2019-2020/twas-the-night-before-christmas-page/,Twas the night before christmas page,0.45,TLT Photos/1920 Production Photos/Holmes for the Holidays
/blog/20222023/seasontix,/shows/2022-2023/2026-2027-season-tickets/,2026-2027 SEASON TICKETS,0.44,TLT Photos/2223 Production Photos/Education
/blog/20232024/mississippi,/shows/2023-2024/from-the-mississippi-delta/,FROM THE MISSISSIPPI DELTA,0.35,TLT Photos/2324 Production Photos/Misery
/blog/20252026/bedroom,/shows/2025-2026/bedroom-farce/,BEDROOM FARCE,0.33,TLT Photos/2526 Production Photos/(loose)
/blog/20252026/summercamp,/shows/2025-2026/depending-on-when-the-site-is-launched-we-may-just-need-this-info/,Depending on when the site is launched we may just need this info,0.27,TLT Photos/2526 Production Photos/(loose)
/blog/20252026/productionteam,/shows/2025-2026/now-hiring-production-team-members-for-2026-2027/,NOW HIRING-PRODUCTION TEAM MEMBERS FOR 2026-2027,0.34,TLT Photos/2526 Production Photos/Spring Awakening
/blog/20252026/sotto,/shows/2025-2026/sotto-voce/,SOTTO VOCE,0.21,TLT Photos/2526 Production Photos/The Time Machine
/blog/20252026/spring-bpb9w,/shows/2025-2026/the-mountaintop/,THE MOUNTAINTOP,0.54,TLT Photos/2526 Production Photos/Spring Awakening
/blog/2015/1918-1930,/shows/legacy/1918-1930/,1918-1930,0,
/blog/2015/1930-1940,/shows/legacy/1930-1940/,1930-1940,0,
/blog/2015/1940-1950,/shows/legacy/1940-1950/,1940-1950,0,
/blog/2015/1950-1960,/shows/legacy/1950-1960/,1950-1960,0,
/blog/2015/1960-1970,/shows/legacy/1960-1970/,1960-1970,0,
/blog/2015/1970-1980,/shows/legacy/1970-1980/,1970-1980,0,
/blog/2015/1980-1990,/shows/legacy/1980-1990/,1980-1990,0,
/blog/2015/1990-2000,/shows/legacy/1990-2000/,1990-2000,0,
/blog/2015/2000-2010,/shows/legacy/2000-2010/,2000-2010,0,
/blog/2015/2010-2011,/shows/legacy/2010-2011/,2010-2011,0,
/blog/2015/2011-2012,/shows/legacy/2011-2012/,2011-2012,0,
/blog/2015/2012-2013,/shows/legacy/2012-2013/,2012-2013,0,
/blog/2015/a-christmas-story,/shows/legacy/a-christmas-story/,A christmas story,0,
/blog/tag/ChristmasStory1516,/shows/legacy/a-christmas-story/,A christmas story,0,
/blog/2015/a-midsummer-nights-dream,/shows/legacy/a-midsummer-nights-dream/,a midsummer nights dream,0,
/blog/2015/amazon-smile,/shows/legacy/amazon-smile/,Amazon Smile,0,
/blog/2021/russell-wgwef,/shows/legacy/ashley-young/,ASHLEY YOUNG,0,
/blog/2016/the-underpants-5ypj7-yzws8,/shows/legacy/blithe-spirit/,Blithe spirit,0,
/blog/2015/boeing-boeing,/shows/legacy/boeing-boeing/,Boeing Boeing,0,
/blog/2015/bye-bye-birdie,/shows/legacy/bye-bye-birdie/,bye bye birdie,0,
/blog/2015/cabaret-pictures-1,/shows/legacy/cabaret-pictures/,Cabaret Pictures,0,
/blog/2015/cabaret,/shows/legacy/cabaret/,Cabaret,0,
/blog/tag/Caberet1415,/shows/legacy/cabaret/,Cabaret,0,
/blog/2015/chapter-two,/shows/legacy/chapter-two/,Chapter two,0,
/blog/2016/the-underpants-5ypj7-em9m8-l4mjh,/shows/legacy/children-of-a-lesser-god/,Children of a lesser god,0,
/blog/2015/the-complete-works-of-william-shakespeare-abridged-revised,/shows/legacy/complete-works-of/,complete works of,0,
/blog/2015/dial-m-for-murder,/shows/legacy/dial-m-for-murder/,Dial M for murder,0,
/blog/2016/dracula,/shows/legacy/dracula/,Dracula,0,
/blog/2016/exit-laughing,/shows/legacy/exit-laughing/,Exit laughing,0,
/blog/2015/the-fox-on-the-fairway,/shows/legacy/fox-on-the-fairway/,fox on the fairway,0,
/blog/2015/fred-meyer-community-rewards-helps-tlt,/shows/legacy/fred-meyer-community-rewards/,Fred Meyer Community Rewards,0,
/blog/2025/grab-dinner-at-harbor-lights,/shows/legacy/grab-dinner-at-harbor-lights/,GRAB DINNER AT HARBOR LIGHTS!,0,
/blog/2015/the-great-gatsby,/shows/legacy/great-gatsby/,great gatsby,0,
/blog/2016/gypsy,/shows/legacy/gypsy/,Gypsy,0,
/blog/2022/scholarship-application,/shows/legacy/is-there-actually-a-link-that-people-can-use-for-scholarships-or-is-this-it/,"Is there actually a link that people can use for scholarships, or is this it?",0,
/blog/2015/its-a-wonderful-life,/shows/legacy/its-a-wonderful-life/,Its a wonderful life,0,
/blog/2021/russell-5tgd7-fbr6k,/shows/legacy/jalen-c-penn/,JALEN C. PENN,0,
/blog/2016/the-underpants-5ypj7-em9m8-l4mjh-y6c62,/shows/legacy/jesus-christ-superstar/,Jesus Christ Superstar,0,
/blog/2015/the-last-night-of-ballyhoo,/shows/legacy/last-night-of-ballyhoo/,last night of ballyhoo,0,
/blog/2016/the-underpants-5ypj7-em9m8-l4mjh-y6c62-hkpgb-86s8n,/shows/legacy/macbeth/,Macbeth,0,
/blog/2016/the-man-who-shot-liberty-valance-1,/shows/legacy/man-who-shot-liberty-valance/,man who shot liberty valance,0,
/blog/2015/tania,/shows/legacy/maria-tania-bandes-b-weingarden/,"MARIA-TANIA BANDES B. WEINGARDEN, PRESIDENT",0,
/blog/2016/of-mice-and-men,/shows/legacy/mice-and-men/,mice and men,0,
/blog/2016/miracle-on-34th-street,/shows/legacy/miracle-on-34th-street/,Miracle on 34th street,0,
/blog/2015/moonlight-and-magnolias,/shows/legacy/moonlight-and-magnolias/,Moonlight and magnolias,0,
/blog/2016/parking,/shows/legacy/parking/,Parking,0,
